index,Year,Winning League,Winning team,Winning Team Modern Franchise,Winning Manager,Games,Losing League,Losing team,Losing Team Modern Franchise,Losing Manager
17,1921,National League,New York Giants,San Francisco Giants,John McGraw,5–3,American League,New York Yankees,New York Yankees,Miller Huggins
18,1922,National League,New York Giants,San Francisco Giants,John McGraw,4–0,American League,New York Yankees,New York Yankees,Miller Huggins
19,1923,American League,New York Yankees,New York Yankees,Miller Huggins,4–2,National League,New York Giants,San Francisco Giants,John McGraw
20,1924,American League,Washington Senators,Minnesota Twins,Bucky Harris,4–3,National League,New York Giants,San Francisco Giants,John McGraw
21,1925,National League,Pittsburgh Pirates,Pittsburgh Pirates,Bill McKechnie,4–3,American League,Washington Senators,Minnesota Twins,Bucky Harris
22,1926,National League,St. Louis Cardinals,St. Louis Cardinals,Rogers Hornsby,4–3,American League,New York Yankees,New York Yankees,Miller Huggins
23,1927,American League,New York Yankees,New York Yankees,Miller Huggins,4–0,National League,Pittsburgh Pirates,Pittsburgh Pirates,Donie Bush
24,1928,American League,New York Yankees,New York Yankees,Miller Huggins,4–0,National League,St. Louis Cardinals,St. Louis Cardinals,Bill McKechnie
25,1929,American League,Philadelphia Athletics,Oakland Athletics,Connie Mack,4–1,National League,Chicago Cubs,Chicago Cubs,Joe McCarthy
26,1930,American League,Philadelphia Athletics,Oakland Athletics,Connie Mack,4–2,National League,St. Louis Cardinals,St. Louis Cardinals,Gabby Street
27,1931,National League,St. Louis Cardinals,St. Louis Cardinals,Gabby Street,4–3,American League,Philadelphia Athletics,Oakland Athletics,Connie Mack
28,1932,American League,New York Yankees,New York Yankees,Joe McCarthy,4–0,National League,Chicago Cubs,Chicago Cubs,Charlie Grimm
