Team,Record,Win Pct,Division GB,WildCard GB,League GB,Date Collected
New York Mets,28-17,0.622,0.0,0.0,1.0,2025-05-17
Philadelphia Phillies,26-18,0.591,1.5,1.5,2.5,2025-05-17
Atlanta Braves,23-22,0.511,5.0,5.0,6.0,2025-05-17
Washington Nationals,19-27,0.413,9.5,9.5,10.5,2025-05-17
Miami Marlins,17-26,0.395,10.0,10.0,11.0,2025-05-17
Chicago Cubs,26-19,0.578,0.0,2.0,3.0,2025-05-17
St. Louis Cardinals,25-20,0.556,1.0,3.0,4.0,2025-05-17
Cincinnati Reds,22-24,0.478,4.5,6.5,7.5,2025-05-17
Milwaukee Brewers,21-24,0.467,5.0,7.0,8.0,2025-05-17
Pittsburgh Pirates,15-30,0.333,11.0,13.0,14.0,2025-05-17
Los Angeles Dodgers,29-16,0.644,0.0,-1.0,0.0,2025-05-17
San Diego Padres,27-16,0.628,1.0,0.0,1.0,2025-05-17
San Francisco Giants,26-19,0.578,3.0,2.0,3.0,2025-05-17
Arizona Diamondbacks,24-21,0.533,5.0,4.0,5.0,2025-05-17
Colorado Rockies,7-37,0.159,21.5,20.5,21.5,2025-05-17
