Team,Record,Win Pct,Division GB,WildCard GB,League GB,Date Collected
Detroit Tigers,43-24,0.642,0.0,-6.5,0.0,2025-06-10
Minnesota Twins,35-30,0.538,7.0,0.5,7.0,2025-06-10
Cleveland Guardians,34-31,0.523,8.0,1.5,8.0,2025-06-10
Kansas City Royals,34-32,0.515,8.5,2.0,8.5,2025-06-10
Chicago White Sox,22-44,0.333,20.5,14.0,20.5,2025-06-10
Houston Astros,36-29,0.554,0.0,-0.5,6.0,2025-06-10
Seattle Mariners,33-32,0.508,3.0,2.5,9.0,2025-06-10
Los Angeles Angels of Anaheim,31-34,0.477,5.0,4.5,11.0,2025-06-10
Texas Rangers,31-35,0.470,5.5,5.0,11.5,2025-06-10
Athletics,26-42,0.382,11.5,11.0,17.5,2025-06-10
New York Mets,42-24,0.636,0.0,-4.0,0.0,2025-06-10
Philadelphia Phillies,38-28,0.576,4.0,0.0,4.0,2025-06-10
Washington Nationals,30-35,0.462,11.5,7.5,11.5,2025-06-10
Atlanta Braves,28-37,0.431,13.5,9.5,13.5,2025-06-10
Miami Marlins,24-40,0.375,17.0,13.0,17.0,2025-06-10
Chicago Cubs,40-26,0.606,0.0,-2.0,2.0,2025-06-10
St. Louis Cardinals,36-30,0.545,4.0,2.0,6.0,2025-06-10
Milwaukee Brewers,35-32,0.522,5.5,3.5,7.5,2025-06-10
Cincinnati Reds,34-33,0.507,6.5,4.5,8.5,2025-06-10
Pittsburgh Pirates,27-40,0.403,13.5,11.5,15.5,2025-06-10
Los Angeles Dodgers,40-27,0.597,0.0,-1.5,2.5,2025-06-10
San Francisco Giants,38-28,0.576,1.5,0.0,4.0,2025-06-10
San Diego Padres,37-28,0.569,2.0,0.5,4.5,2025-06-10
Arizona Diamondbacks,32-34,0.485,7.5,6.0,10.0,2025-06-10
Colorado Rockies,12-53,0.185,27.0,25.5,29.5,2025-06-10
New York Yankees,40-25,0.615,0.0,-4.0,2.5,2025-06-11
Toronto Blue Jays,37-30,0.552,4.0,0.0,6.5,2025-06-11
Tampa Bay Rays,36-31,0.537,5.0,1.0,7.5,2025-06-11
Boston Red Sox,33-36,0.478,9.0,5.0,11.5,2025-06-11
Baltimore Orioles,26-39,0.400,14.0,10.0,16.5,2025-06-11
Detroit Tigers,44-24,0.647,0.0,-6.5,0.0,2025-06-11
Minnesota Twins,35-31,0.530,8.0,1.5,8.0,2025-06-11
Cleveland Guardians,34-32,0.515,9.0,2.5,9.0,2025-06-11
Kansas City Royals,34-33,0.507,9.5,3.0,9.5,2025-06-11
Chicago White Sox,23-44,0.343,20.5,14.0,20.5,2025-06-11
Houston Astros,36-30,0.545,0.0,0.5,7.0,2025-06-11
Seattle Mariners,33-33,0.500,3.0,3.5,10.0,2025-06-11
Los Angeles Angels of Anaheim,32-34,0.485,4.0,4.5,11.0,2025-06-11
Texas Rangers,32-35,0.478,4.5,5.0,11.5,2025-06-11
Athletics,26-43,0.377,11.5,12.0,18.5,2025-06-11
New York Mets,43-24,0.642,0.0,-4.0,0.0,2025-06-11
Philadelphia Phillies,38-29,0.567,5.0,1.0,5.0,2025-06-11
Washington Nationals,30-36,0.455,12.5,8.5,12.5,2025-06-11
Atlanta Braves,28-38,0.424,14.5,10.5,14.5,2025-06-11
Miami Marlins,25-40,0.385,17.0,13.0,17.0,2025-06-11
Chicago Cubs,41-26,0.612,0.0,-2.0,2.0,2025-06-11
St. Louis Cardinals,36-31,0.537,5.0,3.0,7.0,2025-06-11
Milwaukee Brewers,36-32,0.529,5.5,3.5,7.5,2025-06-11
Cincinnati Reds,35-33,0.515,6.5,4.5,8.5,2025-06-11
Pittsburgh Pirates,27-41,0.397,14.5,12.5,16.5,2025-06-11
Los Angeles Dodgers,40-28,0.588,0.0,-0.5,3.5,2025-06-11
San Francisco Giants,39-28,0.582,0.5,0.0,4.0,2025-06-11
San Diego Padres,38-28,0.576,1.0,0.5,4.5,2025-06-11
Arizona Diamondbacks,33-34,0.493,6.5,6.0,10.0,2025-06-11
Colorado Rockies,12-54,0.182,27.0,26.5,30.5,2025-06-11
New York Yankees,41-25,0.621,0.0,-4.0,1.5,2025-06-12
Toronto Blue Jays,38-30,0.559,4.0,0.0,5.5,2025-06-12
Tampa Bay Rays,36-32,0.529,6.0,2.0,7.5,2025-06-12
Boston Red Sox,34-36,0.486,9.0,5.0,10.5,2025-06-12
Baltimore Orioles,27-39,0.409,14.0,10.0,15.5,2025-06-12
Detroit Tigers,44-25,0.638,0.0,-5.5,0.0,2025-06-12
Minnesota Twins,36-31,0.537,7.0,1.5,7.0,2025-06-12
Cleveland Guardians,35-32,0.522,8.0,2.5,8.0,2025-06-12
Kansas City Royals,34-34,0.500,9.5,4.0,9.5,2025-06-12
Chicago White Sox,23-45,0.338,20.5,15.0,20.5,2025-06-12
Houston Astros,37-30,0.552,0.0,0.5,6.0,2025-06-12
Seattle Mariners,33-34,0.493,4.0,4.5,10.0,2025-06-12
Los Angeles Angels of Anaheim,33-34,0.493,4.0,4.5,10.0,2025-06-12
Texas Rangers,32-36,0.471,5.5,6.0,11.5,2025-06-12
Athletics,26-44,0.371,12.5,13.0,18.5,2025-06-12
New York Mets,44-24,0.647,0.0,-4.0,0.0,2025-06-12
Philadelphia Phillies,39-29,0.574,5.0,1.0,5.0,2025-06-12
Washington Nationals,30-37,0.448,13.5,9.5,13.5,2025-06-12
Atlanta Braves,29-38,0.433,14.5,10.5,14.5,2025-06-12
Miami Marlins,25-41,0.379,18.0,14.0,18.0,2025-06-12
Chicago Cubs,41-27,0.603,0.0,-1.0,3.0,2025-06-12
St. Louis Cardinals,36-32,0.529,5.0,4.0,8.0,2025-06-12
Milwaukee Brewers,36-33,0.522,5.5,4.5,8.5,2025-06-12
Cincinnati Reds,35-34,0.507,6.5,5.5,9.5,2025-06-12
Pittsburgh Pirates,28-41,0.406,13.5,12.5,16.5,2025-06-12
Los Angeles Dodgers,41-28,0.594,0.0,-0.5,3.5,2025-06-12
San Francisco Giants,40-28,0.588,0.5,0.0,4.0,2025-06-12
San Diego Padres,38-29,0.567,2.0,1.5,5.5,2025-06-12
Arizona Diamondbacks,34-34,0.500,6.5,6.0,10.0,2025-06-12
Colorado Rockies,12-55,0.179,28.0,27.5,31.5,2025-06-12
New York Yankees,42-25,0.627,0.0,-4.5,1.5,2025-06-13
Toronto Blue Jays,38-30,0.559,4.5,0.0,6.0,2025-06-13
Tampa Bay Rays,36-32,0.529,6.5,2.0,8.0,2025-06-13
Boston Red Sox,34-36,0.486,9.5,5.0,11.0,2025-06-13
Baltimore Orioles,27-40,0.403,15.0,10.5,16.5,2025-06-13
Detroit Tigers,45-25,0.643,0.0,-6.0,0.0,2025-06-13
Minnesota Twins,36-32,0.529,8.0,2.0,8.0,2025-06-13
Cleveland Guardians,35-32,0.522,8.5,2.5,8.5,2025-06-13
Kansas City Royals,34-35,0.493,10.5,4.5,10.5,2025-06-13
Chicago White Sox,23-46,0.333,21.5,15.5,21.5,2025-06-13
Houston Astros,38-30,0.559,0.0,0.0,6.0,2025-06-13
Seattle Mariners,33-34,0.493,4.5,4.5,10.5,2025-06-13
Los Angeles Angels of Anaheim,33-34,0.493,4.5,4.5,10.5,2025-06-13
Texas Rangers,33-36,0.478,5.5,5.5,11.5,2025-06-13
Athletics,26-44,0.371,13.0,13.0,19.0,2025-06-13
New York Mets,45-24,0.652,0.0,-5.0,0.0,2025-06-13
Philadelphia Phillies,39-29,0.574,5.5,0.5,5.5,2025-06-13
Washington Nationals,30-38,0.441,14.5,9.5,14.5,2025-06-13
Atlanta Braves,29-38,0.433,15.0,10.0,15.0,2025-06-13
Miami Marlins,25-41,0.379,18.5,13.5,18.5,2025-06-13
Chicago Cubs,42-27,0.609,0.0,-2.0,3.0,2025-06-13
Milwaukee Brewers,37-33,0.529,5.5,3.5,8.5,2025-06-13
St. Louis Cardinals,36-33,0.522,6.0,4.0,9.0,2025-06-13
Cincinnati Reds,35-34,0.507,7.0,5.0,10.0,2025-06-13
Pittsburgh Pirates,28-42,0.400,14.5,12.5,17.5,2025-06-13
Los Angeles Dodgers,41-28,0.594,0.0,-1.0,4.0,2025-06-13
San Francisco Giants,40-29,0.580,1.0,0.0,5.0,2025-06-13
San Diego Padres,38-29,0.567,2.0,1.0,6.0,2025-06-13
Arizona Diamondbacks,34-34,0.500,6.5,5.5,10.5,2025-06-13
Colorado Rockies,13-55,0.191,27.5,26.5,31.5,2025-06-13
New York Yankees,42-26,0.618,0.0,-4.5,2.5,2025-06-14
Toronto Blue Jays,38-31,0.551,4.5,0.0,7.0,2025-06-14
Tampa Bay Rays,37-32,0.536,5.5,1.0,8.0,2025-06-14
Boston Red Sox,35-36,0.493,8.5,4.0,11.0,2025-06-14
Baltimore Orioles,28-40,0.412,14.0,9.5,16.5,2025-06-14
Detroit Tigers,46-25,0.648,0.0,-7.0,0.0,2025-06-14
Minnesota Twins,36-33,0.522,9.0,2.0,9.0,2025-06-14
Cleveland Guardians,35-33,0.515,9.5,2.5,9.5,2025-06-14
Kansas City Royals,34-36,0.486,11.5,4.5,11.5,2025-06-14
Chicago White Sox,23-47,0.329,22.5,15.5,22.5,2025-06-14
Houston Astros,39-30,0.565,0.0,-1.0,6.0,2025-06-14
Seattle Mariners,34-34,0.500,4.5,3.5,10.5,2025-06-14
Texas Rangers,34-36,0.486,5.5,4.5,11.5,2025-06-14
Los Angeles Angels of Anaheim,33-35,0.485,5.5,4.5,11.5,2025-06-14
Athletics,27-44,0.380,13.0,12.0,19.0,2025-06-14
New York Mets,45-25,0.643,0.0,-4.0,0.0,2025-06-14
Philadelphia Phillies,40-29,0.580,4.5,0.5,4.5,2025-06-14
Atlanta Braves,30-38,0.441,14.0,10.0,14.0,2025-06-14
Washington Nationals,30-39,0.435,14.5,10.5,14.5,2025-06-14
Miami Marlins,26-41,0.388,17.5,13.5,17.5,2025-06-14
Chicago Cubs,42-28,0.600,0.0,-1.0,3.0,2025-06-14
Milwaukee Brewers,38-33,0.535,4.5,3.5,7.5,2025-06-14
St. Louis Cardinals,36-34,0.514,6.0,5.0,9.0,2025-06-14
Cincinnati Reds,35-35,0.500,7.0,6.0,10.0,2025-06-14
Pittsburgh Pirates,29-42,0.408,13.5,12.5,16.5,2025-06-14
Los Angeles Dodgers,41-29,0.586,0.0,0.0,4.0,2025-06-14
San Francisco Giants,41-29,0.586,0.0,0.0,4.0,2025-06-14
San Diego Padres,38-30,0.559,2.0,2.0,6.0,2025-06-14
Arizona Diamondbacks,35-34,0.507,5.5,5.5,9.5,2025-06-14
Colorado Rockies,13-56,0.188,27.5,27.5,31.5,2025-06-14
New York Yankees,42-27,0.609,0.0,-4.5,2.5,2025-06-15
Toronto Blue Jays,38-32,0.543,4.5,0.0,7.0,2025-06-15
Tampa Bay Rays,38-32,0.543,4.5,0.0,7.0,2025-06-15
Boston Red Sox,36-36,0.500,7.5,3.0,10.0,2025-06-15
Baltimore Orioles,29-40,0.420,13.0,8.5,15.5,2025-06-15
Detroit Tigers,46-26,0.639,0.0,-7.0,0.0,2025-06-15
Minnesota Twins,36-34,0.514,9.0,2.0,9.0,2025-06-15
Cleveland Guardians,35-34,0.507,9.5,2.5,9.5,2025-06-15
Kansas City Royals,34-37,0.479,11.5,4.5,11.5,2025-06-15
Chicago White Sox,23-48,0.324,22.5,15.5,22.5,2025-06-15
Houston Astros,40-30,0.571,0.0,-2.0,5.0,2025-06-15
Seattle Mariners,35-34,0.507,4.5,2.5,9.5,2025-06-15
Texas Rangers,35-36,0.493,5.5,3.5,10.5,2025-06-15
Los Angeles Angels of Anaheim,33-36,0.478,6.5,4.5,11.5,2025-06-15
Athletics,28-44,0.389,13.0,11.0,18.0,2025-06-15
New York Mets,45-26,0.634,0.0,-3.5,0.0,2025-06-15
Philadelphia Phillies,41-29,0.586,3.5,0.0,3.5,2025-06-15
Atlanta Braves,31-38,0.449,13.0,9.5,13.0,2025-06-15
Washington Nationals,30-40,0.429,14.5,11.0,14.5,2025-06-15
Miami Marlins,27-41,0.397,16.5,13.0,16.5,2025-06-15
Chicago Cubs,43-28,0.606,0.0,-1.5,2.0,2025-06-15
Milwaukee Brewers,38-34,0.528,5.5,4.0,7.5,2025-06-15
St. Louis Cardinals,37-34,0.521,6.0,4.5,8.0,2025-06-15
Cincinnati Reds,36-35,0.507,7.0,5.5,9.0,2025-06-15
Pittsburgh Pirates,29-43,0.403,14.5,13.0,16.5,2025-06-15
Los Angeles Dodgers,42-29,0.592,0.0,-0.5,3.0,2025-06-15
San Francisco Giants,41-30,0.577,1.0,0.5,4.0,2025-06-15
San Diego Padres,38-31,0.551,3.0,2.5,6.0,2025-06-15
Arizona Diamondbacks,36-34,0.514,5.5,5.0,8.5,2025-06-15
Colorado Rockies,13-57,0.186,28.5,28.0,31.5,2025-06-15
New York Yankees,42-28,0.600,0.0,-3.5,2.5,2025-06-16
Tampa Bay Rays,39-32,0.549,3.5,0.0,6.0,2025-06-16
Toronto Blue Jays,38-33,0.535,4.5,1.0,7.0,2025-06-16
Boston Red Sox,37-36,0.507,6.5,3.0,9.0,2025-06-16
Baltimore Orioles,30-40,0.429,12.0,8.5,14.5,2025-06-16
Detroit Tigers,46-27,0.630,0.0,-6.0,0.0,2025-06-16
Minnesota Twins,36-35,0.507,9.0,3.0,9.0,2025-06-16
Cleveland Guardians,35-35,0.500,9.5,3.5,9.5,2025-06-16
Kansas City Royals,34-38,0.472,11.5,5.5,11.5,2025-06-16
Chicago White Sox,23-49,0.319,22.5,16.5,22.5,2025-06-16
Houston Astros,41-30,0.577,0.0,-2.0,4.0,2025-06-16
Seattle Mariners,36-34,0.514,4.5,2.5,8.5,2025-06-16
Texas Rangers,36-36,0.500,5.5,3.5,9.5,2025-06-16
Los Angeles Angels of Anaheim,33-37,0.471,7.5,5.5,11.5,2025-06-16
Athletics,29-44,0.397,13.0,11.0,17.0,2025-06-16
New York Mets,45-27,0.625,0.0,-2.5,0.0,2025-06-16
Philadelphia Phillies,42-29,0.592,2.5,0.0,2.5,2025-06-16
Atlanta Braves,31-39,0.443,13.0,10.5,13.0,2025-06-16
Washington Nationals,30-41,0.423,14.5,12.0,14.5,2025-06-16
Miami Marlins,28-41,0.406,15.5,13.0,15.5,2025-06-16
Chicago Cubs,44-28,0.611,0.0,-1.5,1.0,2025-06-16
Milwaukee Brewers,39-34,0.534,5.5,4.0,6.5,2025-06-16
St. Louis Cardinals,37-35,0.514,7.0,5.5,8.0,2025-06-16
Cincinnati Reds,37-35,0.514,7.0,5.5,8.0,2025-06-16
Pittsburgh Pirates,29-44,0.397,15.5,14.0,16.5,2025-06-16
Los Angeles Dodgers,43-29,0.597,0.0,-0.5,2.0,2025-06-16
San Francisco Giants,41-31,0.569,2.0,1.5,4.0,2025-06-16
San Diego Padres,39-31,0.557,3.0,2.5,5.0,2025-06-16
Arizona Diamondbacks,36-35,0.507,6.5,6.0,8.5,2025-06-16
Colorado Rockies,14-57,0.197,28.5,28.0,30.5,2025-06-16
New York Yankees,42-29,0.592,0.0,-2.5,3.0,2025-06-17
Tampa Bay Rays,40-32,0.556,2.5,0.0,5.5,2025-06-17
Toronto Blue Jays,38-33,0.535,4.0,1.5,7.0,2025-06-17
Boston Red Sox,38-36,0.514,5.5,3.0,8.5,2025-06-17
Baltimore Orioles,30-41,0.423,12.0,9.5,15.0,2025-06-17
Detroit Tigers,46-27,0.630,0.0,-5.5,0.0,2025-06-17
Minnesota Twins,36-35,0.507,9.0,3.5,9.0,2025-06-17
Cleveland Guardians,35-35,0.500,9.5,4.0,9.5,2025-06-17
Kansas City Royals,34-38,0.472,11.5,6.0,11.5,2025-06-17
Chicago White Sox,23-49,0.319,22.5,17.0,22.5,2025-06-17
Houston Astros,41-31,0.569,0.0,-1.0,4.5,2025-06-17
Seattle Mariners,36-35,0.507,4.5,3.5,9.0,2025-06-17
Texas Rangers,36-36,0.500,5.0,4.0,9.5,2025-06-17
Los Angeles Angels of Anaheim,34-37,0.479,6.5,5.5,11.0,2025-06-17
Athletics,30-44,0.405,12.0,11.0,16.5,2025-06-17
New York Mets,45-27,0.625,0.0,-2.0,0.0,2025-06-17
Philadelphia Phillies,43-29,0.597,2.0,0.0,2.0,2025-06-17
Atlanta Braves,31-39,0.443,13.0,11.0,13.0,2025-06-17
Washington Nationals,30-42,0.417,15.0,13.0,15.0,2025-06-17
Miami Marlins,28-42,0.400,16.0,14.0,16.0,2025-06-17
Chicago Cubs,44-28,0.611,0.0,-1.0,1.0,2025-06-17
Milwaukee Brewers,39-34,0.534,5.5,4.5,6.5,2025-06-17
St. Louis Cardinals,37-35,0.514,7.0,6.0,8.0,2025-06-17
Cincinnati Reds,37-35,0.514,7.0,6.0,8.0,2025-06-17
Pittsburgh Pirates,29-44,0.397,15.5,14.5,16.5,2025-06-17
Los Angeles Dodgers,44-29,0.603,0.0,-0.5,1.5,2025-06-17
San Francisco Giants,41-31,0.569,2.5,2.0,4.0,2025-06-17
San Diego Padres,39-32,0.549,4.0,3.5,5.5,2025-06-17
Arizona Diamondbacks,36-35,0.507,7.0,6.5,8.5,2025-06-17
Colorado Rockies,15-57,0.208,28.5,28.0,30.0,2025-06-17
