Player,Games,At Bats,Runs,Hits,HR,RBI,BB,K,BA,OBA,Slug%,Last Game Date,Date Collected
Alec Bohm,8,29,4,12,1,3,3,6,.414,.485,.552,2025-05-12,2025-05-14
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06,2025-05-14
Jose Ramirez,8,29,7,12,2,4,5,4,.414,.514,.724,2025-05-13,2025-05-14
Connor Norby,8,28,4,10,1,3,2,6,.357,.400,.607,2025-05-13,2025-05-14
Nico Hoerner,8,31,7,9,0,2,0,3,.290,.312,.387,2025-05-13,2025-05-14
Ernie Clement,7,28,5,12,1,3,1,7,.429,.433,.643,2025-05-13,2025-05-14
Xavier Edwards,7,28,3,9,0,1,4,6,.321,.406,.321,2025-05-13,2025-05-14
Ryan Mountcastle,7,28,0,9,0,5,1,5,.321,.333,.429,2025-05-11,2025-05-14
Fernando Tatis Jr.,7,29,10,9,3,8,4,4,.310,.394,.655,2025-05-13,2025-05-14
Hunter Goodman,6,26,6,12,1,7,0,4,.462,.462,.808,2025-05-13,2025-05-14
Jeremy Pena,6,27,5,11,2,9,1,3,.407,.414,.704,2025-05-13,2025-05-14
Corey Seager,6,27,9,9,2,6,0,3,.333,.333,.630,2025-05-10,2025-05-14
Josh Naylor,6,25,3,7,1,4,1,4,.280,.308,.480,2025-05-13,2025-05-14
Brandon Nimmo,6,22,3,7,1,3,1,5,.318,.375,.591,2025-05-13,2025-05-14
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25,2025-05-14
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08,2025-05-14
Aaron Judge,5,21,5,10,2,6,4,6,.476,.538,.905,2025-05-13,2025-05-14
Gavin Sheets,5,23,3,9,1,8,0,5,.391,.391,.652,2025-05-13,2025-05-14
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06,2025-05-14
Lars Nootbaar,5,22,3,8,1,4,2,2,.364,.417,.591,2025-05-12,2025-05-14
Gunnar Henderson,5,22,4,7,2,4,1,7,.318,.348,.727,2025-05-11,2025-05-14
Andres Gimenez,5,19,2,7,0,2,0,0,.368,.368,.421,2025-05-07,2025-05-14
Myles Straw,5,17,3,6,0,4,0,2,.353,.353,.412,2025-05-13,2025-05-14
Alexander Canario,5,17,2,6,1,1,2,5,.353,.421,.647,2025-05-13,2025-05-14
Andrew Vaughn,5,19,2,5,2,3,0,5,.263,.263,.684,2025-05-13,2025-05-14
Yoan Moncada,5,17,4,5,0,2,4,3,.294,.429,.529,2025-05-13,2025-05-14
Manny Machado,14,50,15,24,1,9,9,10,.480,.559,.620,2025-05-14,2025-05-15
Cody Bellinger,10,42,7,13,2,5,4,9,.310,.370,.500,2025-05-14,2025-05-15
Jose Ramirez,9,32,9,13,3,7,6,4,.406,.513,.781,2025-05-14,2025-05-15
Ryan Mountcastle,9,37,2,12,0,6,2,6,.324,.350,.432,2025-05-14,2025-05-15
Ernie Clement,8,31,5,13,1,3,1,7,.419,.424,.613,2025-05-14,2025-05-15
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06,2025-05-15
Xavier Edwards,8,32,3,10,0,1,4,7,.312,.389,.312,2025-05-14,2025-05-15
Jeremy Pena,7,31,5,15,2,11,1,3,.484,.485,.774,2025-05-14,2025-05-15
Lars Nootbaar,7,30,5,11,2,6,3,5,.367,.412,.633,2025-05-14,2025-05-15
Gunnar Henderson,7,31,5,11,3,7,2,8,.355,.394,.742,2025-05-14,2025-05-15
Josh Naylor,7,30,4,9,1,4,1,4,.300,.323,.467,2025-05-14,2025-05-15
Brandon Nimmo,7,26,3,8,1,3,1,5,.308,.357,.538,2025-05-14,2025-05-15
Aaron Judge,6,25,6,12,3,7,4,8,.480,.533,.960,2025-05-14,2025-05-15
Trevor Larnach,6,26,5,10,3,7,1,8,.385,.407,.846,2025-05-14,2025-05-15
Corey Seager,6,27,9,9,2,6,0,3,.333,.333,.630,2025-05-10,2025-05-15
Alexander Canario,6,21,2,8,1,1,2,6,.381,.435,.619,2025-05-14,2025-05-15
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25,2025-05-15
Andrew Vaughn,6,23,2,6,2,4,0,5,.261,.261,.652,2025-05-14,2025-05-15
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08,2025-05-15
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06,2025-05-15
Shea Langeliers,5,20,4,9,1,5,2,4,.450,.500,.650,2025-05-14,2025-05-15
Josh Jung,5,18,4,9,3,7,1,4,.500,.526,1.000,2025-05-14,2025-05-15
Mark Vientos,5,19,3,8,1,2,0,3,.421,.421,.632,2025-05-14,2025-05-15
Riley Greene,5,19,4,8,2,6,1,3,.421,.450,.842,2025-05-14,2025-05-15
Andres Gimenez,5,19,2,7,0,2,0,0,.368,.368,.421,2025-05-07,2025-05-15
Ivan Herrera,5,18,4,7,1,3,2,4,.389,.455,.667,2025-05-14,2025-05-15
Myles Straw,5,17,3,6,0,4,0,2,.353,.353,.412,2025-05-14,2025-05-15
J.T. Realmuto,5,17,3,6,1,3,3,5,.353,.450,.647,2025-05-14,2025-05-15
Harrison Bader,5,15,1,6,0,2,1,1,.400,.438,.533,2025-05-14,2025-05-15
Michael Harris II,5,19,1,6,0,2,2,2,.316,.381,.474,2025-05-14,2025-05-15
Manny Machado,14,50,15,24,1,9,9,10,.480,.559,.620,2025-05-14,2025-05-16
Ryan Mountcastle,10,41,2,13,0,6,2,6,.317,.341,.439,2025-05-15,2025-05-16
Cody Bellinger,10,42,7,13,2,5,4,9,.310,.370,.500,2025-05-14,2025-05-16
Jose Ramirez,9,32,9,13,3,7,6,4,.406,.513,.781,2025-05-14,2025-05-16
Jeremy Pena,8,35,5,16,2,11,1,5,.457,.459,.714,2025-05-15,2025-05-16
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06,2025-05-16
Xavier Edwards,8,32,3,10,0,1,4,7,.312,.389,.312,2025-05-14,2025-05-16
Lars Nootbaar,7,30,5,11,2,6,3,5,.367,.412,.633,2025-05-14,2025-05-16
Josh Naylor,7,30,4,9,1,4,1,4,.300,.323,.467,2025-05-14,2025-05-16
Brandon Nimmo,7,26,3,8,1,3,1,5,.308,.357,.538,2025-05-14,2025-05-16
Aaron Judge,6,25,6,12,3,7,4,8,.480,.533,.960,2025-05-14,2025-05-16
Shea Langeliers,6,23,4,11,1,6,2,4,.478,.520,.696,2025-05-15,2025-05-16
Corey Seager,6,27,9,9,2,6,0,3,.333,.333,.630,2025-05-10,2025-05-16
Alexander Canario,6,21,2,8,1,1,2,6,.381,.435,.619,2025-05-14,2025-05-16
Myles Straw,6,20,3,7,0,4,0,2,.350,.350,.400,2025-05-15,2025-05-16
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25,2025-05-16
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08,2025-05-16
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06,2025-05-16
Riley Greene,5,19,4,8,2,6,1,3,.421,.450,.842,2025-05-14,2025-05-16
Michael Conforto,5,19,2,8,0,0,0,4,.421,.421,.684,2025-05-15,2025-05-16
Amed Rosario,5,18,2,8,0,4,1,5,.444,.524,.500,2025-05-15,2025-05-16
Mark Vientos,5,19,3,8,1,2,0,3,.421,.421,.632,2025-05-14,2025-05-16
Andres Gimenez,5,19,2,7,0,2,0,0,.368,.368,.421,2025-05-07,2025-05-16
Ivan Herrera,5,18,4,7,1,3,2,4,.389,.455,.667,2025-05-14,2025-05-16
Jake Burger,5,15,1,6,1,3,2,3,.400,.471,.667,2025-05-15,2025-05-16
J.T. Realmuto,5,17,3,6,1,3,3,5,.353,.450,.647,2025-05-14,2025-05-16
Austin Riley,5,20,3,6,0,1,1,5,.300,.333,.350,2025-05-15,2025-05-16
Harrison Bader,5,15,1,6,0,2,1,1,.400,.438,.533,2025-05-14,2025-05-16
Josh Bell,5,18,0,5,0,0,3,6,.278,.381,.333,2025-05-15,2025-05-16
Cody Bellinger,11,47,9,16,2,5,4,9,.340,.392,.532,2025-05-16,2025-05-17
Ryan Mountcastle,11,46,3,14,0,6,2,8,.304,.327,.413,2025-05-16,2025-05-17
Jose Ramirez,10,36,10,14,4,8,6,4,.389,.488,.806,2025-05-16,2025-05-17
Lars Nootbaar,8,35,6,13,2,6,3,6,.371,.410,.600,2025-05-16,2025-05-17
Victor Robles,8,37,3,12,0,2,0,6,.324,.342,.405,2025-04-06,2025-05-17
Josh Naylor,8,34,5,11,1,4,1,4,.324,.343,.471,2025-05-16,2025-05-17
Xavier Edwards,8,32,3,10,0,1,4,7,.312,.389,.312,2025-05-14,2025-05-17
Brandon Nimmo,8,30,3,10,1,4,1,7,.333,.375,.567,2025-05-16,2025-05-17
Aaron Judge,7,29,8,14,3,7,5,9,.483,.543,.897,2025-05-16,2025-05-17
Alexander Canario,7,24,4,10,2,4,3,7,.417,.481,.750,2025-05-16,2025-05-17
Myles Straw,7,22,3,9,0,5,0,2,.409,.409,.455,2025-05-16,2025-05-17
Riley Greene,6,23,5,10,3,9,2,4,.435,.480,.957,2025-05-16,2025-05-17
Ivan Herrera,6,22,6,10,1,7,2,4,.455,.500,.773,2025-05-16,2025-05-17
Corey Seager,6,27,9,9,2,6,0,3,.333,.333,.630,2025-05-10,2025-05-17
Mark Vientos,6,23,3,9,1,2,0,4,.391,.391,.565,2025-05-16,2025-05-17
Luke Keaschall,6,19,4,7,0,2,5,2,.368,.538,.526,2025-04-25,2025-05-17
Jake Burger,6,19,1,7,1,3,2,4,.368,.429,.579,2025-05-16,2025-05-17
Ryan Bliss,6,20,1,6,1,3,1,6,.300,.333,.500,2025-04-08,2025-05-17
Chandler Simpson,5,20,5,9,0,3,0,2,.450,.450,.600,2025-05-16,2025-05-17
Jonny Deluca,5,18,4,9,0,1,0,3,.500,.500,.611,2025-04-06,2025-05-17
Amed Rosario,5,18,2,8,0,4,1,5,.444,.524,.500,2025-05-15,2025-05-17
Miguel Andujar,5,20,2,7,1,4,0,4,.350,.350,.600,2025-05-16,2025-05-17
Andres Gimenez,5,19,2,7,0,2,0,0,.368,.368,.421,2025-05-07,2025-05-17
Willson Contreras,5,20,5,7,1,4,1,7,.350,.364,.650,2025-05-16,2025-05-17
Jung Hoo Lee,5,23,3,7,2,6,0,1,.304,.292,.609,2025-05-16,2025-05-17
Willy Adames,5,22,5,7,1,3,2,8,.318,.375,.591,2025-05-16,2025-05-17
Vladimir Guerrero Jr.,5,18,5,6,1,2,4,2,.333,.455,.556,2025-05-16,2025-05-17
Luis Urias,5,17,4,6,1,1,1,1,.353,.421,.588,2025-05-16,2025-05-17
Harrison Bader,5,15,1,6,0,2,1,1,.400,.438,.533,2025-05-14,2025-05-17
Spencer Steer,5,19,2,6,1,1,0,3,.316,.316,.684,2025-05-16,2025-05-17
Kameron Misner,5,19,3,5,1,2,0,9,.263,.263,.421,2025-05-16,2025-05-17
Joshua Palacios,5,16,3,5,0,0,2,3,.312,.389,.438,2025-05-16,2025-05-17
Josh Bell,5,18,0,5,0,0,3,6,.278,.381,.333,2025-05-15,2025-05-17
